"movie_title","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","aspect_ratio","movie_facebook_likes","imdb_score"
"Latter Days ","Color","C. Jay Cox","35","107","6","522","Rob McElhenney","23000","819939","Joseph Gordon-Levitt","14580","26017","Jacqueline Bisset","2","http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1","252","English","USA","R","850000","2003","813","1.85","0","7.2"
"My Cousin Vinny ","Color","Jonathan Lynn","54","120","36","633","Bruce McGill","886","52929168","Fred Gwynne","82743","3280","Lane Smith","1","http://www.imdb.com/title/tt0104952/?ref_=fn_tt_tt_1","201","English","USA","R","11000000","1992","655","1.85","7000","7.5"
"Outside Bet ","Color","Sacha Bennett","4","101","22","447","Jenny Agutter","5000",,"Bob Hoskins","243","7206","Vincent Regan","3","http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1","3","English","UK",,"7500000","2012","659",,"223","4.8"
"The Ladies Man ","Color","Reginald Hudlin","58","84","71","553","John Witherspoon","8000","13592872","Will Ferrell","10777","10982","Tim Meadows","1","http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1","79","English","USA","R","11000000","2000","723","1.85","671","5.1"
"Mulholland Drive ","Color","David Lynch","252","147","0","669","Robert Forster","6000","7219578","Naomi Watts","235992","8484","Laura Harring","1","http://www.imdb.com/title/tt0166924/?ref_=fn_tt_tt_1","1768","English","France","R","15000000","2001","889","1.85","16000","8"
"TRON: Legacy ","Color","Joseph Kosinski","469","125","364","1000","Olivia Wilde","12000","172051787","Jeff Bridges","264183","25550","James Frain","0","http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1","665","English","USA","PG","170000000","2010","10000","2.35","30000","6.8"
"Spirited Away ","Color","Hayao Miyazaki","246","125","6000","7","Ryûnosuke Kamiki","17","10049886","Bunta Sugawara","417971","44","Miyu Irino","0","http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1","902","Japanese","Japan","PG","19000000","2001","10","1.85","28000","8.6"
"You Can Count on Me ","Color","Kenneth Lonergan","122","111","50","612","Rory Culkin","2000","9180275","Matthew Broderick","22145","4288","Gaby Hoffmann","0","http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1","231","English","USA","R","1200000","2000","710","1.85","756","7.7"
"One for the Money ","Color","Julie Anne Robinson","127","91","30","497","Debbie Reynolds","922","26404753","Fisher Stevens","34203","3301","Patrick Fischler","1","http://www.imdb.com/title/tt1598828/?ref_=fn_tt_tt_1","169","English","USA","PG-13","40000000","2012","786","2.35","19000","5.3"
"Keeping Up with the Steins ","Color","Scott Marshall","43","90","7","701","Jami Gertz","2000","4328294","Miranda Cosgrove","2719","5900","Carter Jenkins","0","http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1","41","English","USA","PG-13",,"2006","847","1.85","249","5.4"
"Evan Almighty ","Color","Tom Shadyac","186","96","293","7000","Morgan Freeman","87000","100289690","Jimmy Bennett","115099","108016","Steve Carell","0","http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1","257","English","USA","PG","175000000","2007","11000","2.35","2000","5.4"
"Del 1 - Män som hatar kvinnor             ","Color","Niels Arden Oplev",,"88","76","75","David Dencik","690",,"Michael Nyqvist","335","998","Lena Endre","0","http://www.imdb.com/title/tt1639008/?ref_=fn_tt_tt_1",,"Swedish","Sweden",,,,"94",,"22","8.1"
"The Dead Undead ","Color","Matthew R. Anderson","17","89","252","252","Vernon Wells","1000",,"Johnny Pacar","737","2510","Matthew R. Anderson","1","http://www.imdb.com/title/tt0923653/?ref_=fn_tt_tt_1","15","English","USA","R","1100000","2010","745","1.85","444","3"
"The Last House on the Left ","Color","Dennis Iliadis","241","114","29","616","Monica Potter","956","32721635","Tony Goldwyn","67824","3861","Martha MacIsaac","0","http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1","279","English","USA","R","15000000","2009","878","1.85","0","6.6"
"Everybody's Fine ","Color","Kirk Jones","160","99","52","148","James Frain","22000","8855646","Robert De Niro","49855","23409","Brendan Sexton III","1","http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1","117","English","USA","PG-13","21000000","2009","1000","2.35","10000","7.2"
"Just Like Heaven ","Color","Mark Waters","142","95","70","512","Ivana Milicevic","970","48291624","Jon Heder","82819","2876","Willie Garson","1","http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1","263","English","USA","PG-13","58000000","2005","834","1.85","0","6.7"
"Because I Said So ","Color","Michael Lehmann","110","102","36","433","Stephen Collins","747","42640890","Colin Ferguson","32412","1930","Tom Everett Scott","1","http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1","184","English","USA","PG-13",,"2007","452","1.85","0","5.6"
"Kiss of the Dragon ","Color","Chris Nahon","116","98","20","872","Bridget Fonda","5000","36833473","Jet Li","53126","7945","Max Ryan","1","http://www.imdb.com/title/tt0271027/?ref_=fn_tt_tt_1","254","English","France","R","25000000","2001","888","2.35","0","6.6"
"Down Terrace ","Color","Ben Wheatley","53","93","214","59","Tony Way","177","9609","Michael Smiley","2646","365","David Schaal","4","http://www.imdb.com/title/tt1489167/?ref_=fn_tt_tt_1","22","English","UK","R",,"2009","95",,"535","6.5"
"The Devil's Double ","Color","Lee Tamahori","167","109","93","521","Dominic Cooper","31000","1357042","Mem Ferda","53977","35561","Ludivine Sagnier","1","http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1","125","English","Belgium","R","15000000","2011","3000","2.35","14000","7.1"
"Oscar and Lucinda ","Color","Gillian Armstrong","28","132","44","241","Richard Roxburgh","1000","1508689","Tom Wilkinson","5648","2004","Clive Russell","2","http://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1","50","English","USA","R","16000000","1997","653","2.35","329","6.7"
"The World's Fastest Indian ","Color","Roger Donaldson","126","127","79","50","Antony Starr","12000","5128124","Anthony Hopkins","44198","12574","Craig Hall","1","http://www.imdb.com/title/tt0412080/?ref_=fn_tt_tt_1","251","English","New Zealand","PG-13","25000000","2005","506","2.35","11000","7.9"
"Arbitrage ","Color","Nicholas Jarecki","288","107","27","360","Curtiss Cook","664","7918283","Nate Parker","41574","2440","Reg E. Cathey","1","http://www.imdb.com/title/tt1764183/?ref_=fn_tt_tt_1","145","English","USA","R","12000000","2012","591","1.85","0","6.6"
"Think Like a Man ","Color","Tim Story","77","122","167","807","Romany Malco","997","91547205","Chris Brown","34579","5165","Regina Hall","8","http://www.imdb.com/title/tt1621045/?ref_=fn_tt_tt_1","62","English","USA","PG-13","12000000","2012","966","2.35","0","6.6"
"The Fog ","Color","John Carpenter","212","89","0","606","Hal Holbrook","2000","21378000","Jamie Lee Curtis","46493","4878","Janet Leigh","0","http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1","335","English","USA","R","1000000","1980","826","2.35","7000","6.8"
"Jimmy and Judy ","Color","Randall Rubin","23","99","0","131","A.J. Buckley","363",,"Nicole Randall Johnson","1420","997","James Eckhouse","2","http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1","26","English","USA","R","1000000","2006","275",,"138","6.2"
"Meet the Spartans ","Color","Jason Friedberg","111","86","82","362","Diedrich Bader","869","38232624","Carmen Electra","88518","3854","Method Man","0","http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1","409","English","USA","PG-13","30000000","2008","759","1.85","0","2.7"
"Khiladi 786 ","Color","Ashish R. Mohan","23","141","2","61","Mithun Chakraborty","634","352684","Asin","4633","1065","Johnny Lever","1","http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1","31","Hindi","India","Not Rated",,"2012","284",,"365","4.3"
"Cotton Comes to Harlem ","Color","Ossie Davis","30","97","282","148","Cleavon Little","586",,"Redd Foxx","1172","1581","Calvin Lockhart","1","http://www.imdb.com/title/tt0065579/?ref_=fn_tt_tt_1","27","English","USA","R","1200000","1970","434","1.85","477","6.6"
"Toy Story 3 ","Color","Lee Unkrich","453","103","125","721","John Ratzenberger","15000","414984497","Tom Hanks","544884","19085","Don Rickles","3","http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1","733","English","USA","G","200000000","2010","1000","1.85","30000","8.3"
"The Majestic ","Color","Frank Darabont","128","152","0","745","Hal Holbrook","940","27796042","Martin Landau","45031","4310","Jeffrey DeMunn","1","http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1","376","English","USA","PG","72000000","2001","826","1.85","0","6.9"
"The Island ","Color","Michael Bay","257","136","0","3000","Steve Buscemi","19000","35799026","Scarlett Johansson","263329","34839","Djimon Hounsou","1","http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1","899","English","USA","PG-13","126000000","2005","12000","2.35","0","6.9"
"Scream 3 ","Color","Wes Craven","212","116","0","71","Roger Jackson","287","89138076","Kelly Rutherford","98535","600","Nancy O'Dell","4","http://www.imdb.com/title/tt0134084/?ref_=fn_tt_tt_1","734","English","USA","R","40000000","2000","157","2.35","0","5.5"
"Message in a Bottle ","Color","Luis Mandoki","85","131","43","362","John Savage","18000","52799004","Robin Wright","28942","19815","Raphael Sbarge","0","http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1","223","English","USA","PG-13","55000000","1999","652","2.35","0","6.1"
"Honey ","Color","Bille Woodruff","97","94","23","582","Mekhi Phifer","2000","30222640","Christian Monzon","36666","4868","Romeo Miller","2","http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1","144","English","USA","PG-13","25000000","2003","1000","1.85","0","5.3"
"Mississippi Mermaid ","Color","François Truffaut","35","123","0","21","Jean-Paul Belmondo","963","26893","Catherine Deneuve","4391","1694","Michel Bouquet","0","http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1","26","French","France","R","1600000","1969","710","2.35","278","7.2"
"The Duchess ","Color","Saul Dibb","194","110","10","844","Hayley Atwell","3000","13823741","Dominic Cooper","61777","6420","Charlotte Rampling","3","http://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1","140","English","UK","PG-13","13500000","2008","2000","2.35","0","6.9"
"The Missing Person ","Color","Noah Buschel","66","95","8","399","Amy Ryan","529","17580","Merritt Wever","1268","2749","Paul Adelstein","3","http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1","23","English","USA",,"1500000","2009","423","1.85","195","6.2"
"Detroit Rock City ","Color","Adam Rifkin","42","95","89","322","Lin Shaye","1000","4193025","Natasha Lyonne","30682","2518","Shannon Tweed","0","http://www.imdb.com/title/tt0165710/?ref_=fn_tt_tt_1","194","English","USA","R","15000000","1999","852","2.35","0","6.8"
"It's Kind of a Funny Story ","Color","Anna Boden","163","101","16","472","Jeremy Davies","943","6350058","Zoë Kravitz","106098","2786","Jim Gaffigan","3","http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1","150","English","USA","PG-13","8000000","2010","769","1.85","20000","7.2"
"Sin City: A Dame to Kill For "," Black and White","Frank Miller","339","102","436","6000","Bruce Willis","23000","13750556","Joseph Gordon-Levitt","111102","49433","Eva Green","3","http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1","239","English","USA","R","65000000","2014","13000","1.85","32000","6.5"
"Tin Cup ","Color","Ron Shelton","48","135","41","808","Cheech Marin","982","53854588","Don Johnson","37911","3648","Rene Russo","0","http://www.imdb.com/title/tt0117918/?ref_=fn_tt_tt_1","73","English","USA","R","45000000","1996","843","2.35","1000","6.3"
"It's Complicated ","Color","Nancy Meyers","187","120","278","963","Hunter Parrish","11000","112703470","Meryl Streep","69860","15226","Zoe Kazan","2","http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1","214","English","USA","R","85000000","2009","2000","1.85","0","6.6"
"New Year's Eve ","Color","Garry Marshall","200","113","0","307","Common","22000","54540525","Robert De Niro","66579","23456","Seth Meyers","15","http://www.imdb.com/title/tt1598822/?ref_=fn_tt_tt_1","134","English","USA","PG-13","56000000","2011","988","1.85","20000","5.7"
"Silent Trigger ","Color","Russell Mulcahy","14","88","85","40","Gina Bellman","825",,"Christopher Heyerdahl","2699","1432","Conrad Dunn","0","http://www.imdb.com/title/tt0117653/?ref_=fn_tt_tt_1","29","English","Canada","R","9000000","1996","476","2.35","154","5.6"
"All About Steve ","Color","Phil Traill","128","99","3","628","Katy Mixon","14000","33860010","Bradley Cooper","33088","16461","Beth Grant","3","http://www.imdb.com/title/tt0881891/?ref_=fn_tt_tt_1","143","English","USA","PG-13","15000000","2009","982","1.85","0","4.8"
"Primer ","Color","Shane Carruth","143","77","291","8","David Sullivan","291","424760","Shane Carruth","72639","368","Casey Gooden","0","http://www.imdb.com/title/tt0390384/?ref_=fn_tt_tt_1","371","English","USA","PG-13","7000","2004","45","1.85","19000","7"
"Star Wars: Episode I - The Phantom Menace ","Color","George Lucas","320","136","0","1000","Liam Neeson","20000","474544677","Natalie Portman","534658","37723","Ian McDiarmid","1","http://www.imdb.com/title/tt0120915/?ref_=fn_tt_tt_1","3597","English","USA","PG","115000000","1999","14000","2.35","13000","6.5"
"Pat Garrett & Billy the Kid ","Color","Sam Peckinpah","54","106","541","372","Bob Dylan","773",,"James Coburn","13467","2409","Jason Robards","0","http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1","106","English","USA","R","4638783","1973","476","2.35","0","7.4"
"The Life Before Her Eyes ","Color","Vadim Perelman","78","90","26","350","Lynn Cohen","797","303439","Eva Amurri Martino","12125","2073","Brett Cullen","2","http://www.imdb.com/title/tt0815178/?ref_=fn_tt_tt_1","78","English","USA","R","8000000","2007","474","2.35","1000","6.4"
"Another Happy Day ","Color","Sam Levinson","46","119","8","2000","Ezra Miller","3000",,"George Kennedy","3297","10984","Demi Moore","4","http://www.imdb.com/title/tt1719071/?ref_=fn_tt_tt_1","42","English","USA","R","4000000","2011","3000","2.35","798","6"
"The Descent ","Color","Neil Marshall","342","100","197","159","Shauna Macdonald","513","26005908","MyAnna Buring","154938","1379","Craig Conway","0","http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1","1100","English","UK","R","3500000","2005","239","2.35","10000","7.2"
"K-PAX ","Color","Iain Softley","140","120","34","1000","Jeff Bridges","18000","50173190","Kevin Spacey","148490","33615","Alfre Woodard","1","http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1","537","English","USA","PG-13","48000000","2001","12000","2.35","0","7.4"
"Duets ","Color","Bruce Paltrow","65","112","28","215","Marian Seldes","555","4734235","Lochlyn Munro","8217","1227","Huey Lewis","0","http://www.imdb.com/title/tt0134630/?ref_=fn_tt_tt_1","123","English","USA","R","15000000","2000","403","1.85","573","6"
"Elmer Gantry ","Color","Richard Brooks","42","146","174","125","Jean Simmons","556",,"Shirley Jones","7998","1444","Edward Andrews","1","http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1","81","English","USA","Approved","3000000","1960","422","1.66","808","7.9"
"Midnight Cowboy "," Black and White","John Schlesinger","88","113","154","77","Barnard Hughes","183",,"Brenda Vaccaro","76616","465","John McGiver","2","http://www.imdb.com/title/tt0064665/?ref_=fn_tt_tt_1","334","English","USA","X","3600000","1969","89","1.85","0","7.9"
"The Limey ","Color","Steven Soderbergh","111","89","0","132","Lesley Ann Warren","402","3193102","Peter Fonda","24412","1335","William Lucking","0","http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1","240","English","USA","R","9000000","1999","296","1.85","944","7.1"
"Death Becomes Her ","Color","Robert Zemeckis","49","104","0","812","Meryl Streep","13000","58422650","Bruce Willis","78974","25599","Isabella Rossellini","3","http://www.imdb.com/title/tt0104070/?ref_=fn_tt_tt_1","173","English","USA","PG-13","55000000","1992","11000","1.85","8000","6.4"
"Stealing Harvard ","Color","Bruce McCulloch","52","85","54","455","Megan Mullally","985","13973532","Martin Starr","11211","3065","Chris Penn","1","http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1","92","English","USA","PG-13","25000000","2002","637","1.85","215","5.1"
"Ondine ","Color","Neil Jordan","123","111","277","289","Stephen Rea","845","548934","Tony Curran","16863","1554","Alicja Bachleda","2","http://www.imdb.com/title/tt1235796/?ref_=fn_tt_tt_1","57","English","Ireland","PG-13","12000000","2009","327","1.85","0","6.8"
"Prefontaine ","Color","Steve James","23","106","23","200","Laurel Holloman","1000","532190","Kurtwood Smith","5673","1610","Amy Locane","2","http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1","37","English","USA","PG-13","8000000","1997","273","1.66","0","6.8"
"Doom ","Color","Andrzej Bartkowiak","237","113","43","452","Ben Daniels","12000","28031250","Dwayne Johnson","88146","13517","Dexter Fletcher","0","http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1","814","English","UK","R","60000000","2005","585","2.35","0","5.2"
"The Interpreter ","Color","Sydney Pollack","227","128","521","249","George Harris","591","72515360","Curtiss Cook","86152","2100","Michael Wright","1","http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1","411","Aboriginal","UK","PG-13","80000000","2005","249","2.35","0","6.4"
"Juwanna Mann ","Color","Jesse Vaughan","32","91","10","574","Jenifer Lewis","890","13571817","Vivica A. Fox","5312","3104","Kevin Pollak","3","http://www.imdb.com/title/tt0247444/?ref_=fn_tt_tt_1","40","English","USA","PG-13","15600000","2002","578","1.85","939","4.5"
"Jumper ","Color","Doug Liman","238","88","218","521","Hayden Christensen","17000","80170146","Kristen Stewart","243053","21863","Tom Hulce","0","http://www.imdb.com/title/tt0489099/?ref_=fn_tt_tt_1","488","English","USA","PG-13","85000000","2008","4000","2.35","0","6.1"
"Criminal Activities ","Color","Jackie Earle Haley","46","94","0","493","Edi Gathegi","15000",,"Rex Baker","5255","17377","Travis Aaron Wade","3","http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1","38","English","USA",,"7000000","2015","725","2.35","0","5.8"
"Born to Fly: Elizabeth Streb vs. Gravity ","Color","Catherine Gund","10","82","0","0","Sarah Callan","0","21199","Elizabeth Streb","40","0","Laura Flanders","1","http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1","10","English","USA",,"500000","2014","0",,"44","6.8"
"Aloha ","Color","Cameron Crowe","138","105","488","13000","Bradley Cooper","15000","20991497","Emma Stone","39778","44037","Bill Murray","1","http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1","172","English","USA","PG-13","37000000","2015","14000","1.85","11000","5.4"
"Halloween II ","Color","Rob Zombie","220","119","0","593","Tyler Mane","908","33386128","Scout Taylor-Compton","36372","3226","Margot Kidder","0","http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1","491","English","USA","R","15000000","2009","764","1.85","3000","4.9"
"Chariots of Fire ","Color","Hugh Hudson","90","125","46","249","Ben Cross","368","58800000","Alice Krige","40511","1651","John Gielgud","0","http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1","213","English","UK","PG","5500000","1981","303","1.85","0","7.2"
"Crash ","Color","Paul Haggis","287","115","549","911","Loretta Devine","3000","54557348","Don Cheadle","361169","5732","Jennifer Esposito","0","http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1","1624","English","Germany","R","6500000","2004","912","2.35","18000","7.9"
"Character ","Color","Mike van Diem","54","122","4","3","Fedja van Huêt","25","713413","Jan Decleir","9171","48","Hans Kesting","1","http://www.imdb.com/title/tt0119448/?ref_=fn_tt_tt_1","68","Dutch","Netherlands","R","4500000","1997","20","1.85","689","7.8"
"Rocky ","Color","John G. Avildsen","141","145","80","794","Burgess Meredith","13000","117235247","Sylvester Stallone","375240","16094","Carl Weathers","0","http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1","542","English","USA","PG","960000","1976","1000","1.33","0","8.1"
"Thank You for Smoking ","Color","Jason Reitman","239","92","655","88","Cameron Bright","24000","24792061","J.K. Simmons","191998","25092","Todd Louiso","0","http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1","323","English","USA","R","6500000","2005","829","2.35","0","7.6"
"Delgo ","Color","Marc F. Adler","41","94","0","379","Anne Bancroft","795","511920","Eric Idle","2458","2449","Kelly Ripa","1","http://www.imdb.com/title/tt0361500/?ref_=fn_tt_tt_1","26","English","USA","PG","40000000","2008","754","1.85","211","4.4"
"Minority Report ","Color","Steven Spielberg","252","145","14000","533","Frank Grillo","10000","132014112","Tom Cruise","399651","12546","Jessica Capshaw","0","http://www.imdb.com/title/tt0181689/?ref_=fn_tt_tt_1","1331","English","USA","PG-13","102000000","2002","798","2.35","0","7.7"
"Saw V ","Color","David Hackl","160","95","43","357","Costas Mandylor","3000","56729973","Julie Benz","88529","5286","Scott Patterson","0","http://www.imdb.com/title/tt1132626/?ref_=fn_tt_tt_1","262","English","USA","R","10800000","2008","723","1.85","0","5.8"
"Blade II ","Color","Guillermo del Toro","224","117","0","845","Thomas Kretschmann","12000","81645152","Norman Reedus","158267","15371","Tony Curran","1","http://www.imdb.com/title/tt0187738/?ref_=fn_tt_tt_1","559","English","USA","R","54000000","2002","919","1.85","0","6.7"
"Touching the Void ","Color","Kevin Macdonald","121","106","162","3","Brendan Mackey","21","4581222","Nicholas Aaron","26926","29","Joe Simpson","0","http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1","156","English","UK","R",,"2003","5","1.85","0","8.1"
"The Last Castle ","Color","Rod Lurie","110","131","37","507","Delroy Lindo","968","18208078","Clifton Collins Jr.","57100","3012","Michael Irby","3","http://www.imdb.com/title/tt0272020/?ref_=fn_tt_tt_1","281","English","USA","R","60000000","2001","848","2.35","0","6.9"
"Connie and Carla ","Color","Michael Lembeck","76","108","54","463","Nia Vardalos","786","8054280","Debbie Reynolds","6838","2730","Dash Mihok","3","http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1","117","English","USA","PG-13","20000000","2004","567","1.85","924","6.3"
"Slums of Beverly Hills ","Color","Tamara Jenkins","60","91","84","572","Kevin Corrigan","1000","5480318","Natasha Lyonne","9427","2691","Jessica Walter","0","http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1","79","English","USA","R","5000000","1998","778","1.85","462","6.6"
"Clockstoppers ","Color","Jonathan Frakes","69","94","906","528","Paula Garcés","2000","36985501","Michael Biehn","11212","3917","Jason George","0","http://www.imdb.com/title/tt0157472/?ref_=fn_tt_tt_1","94","English","USA","PG","26000000","2002","587","1.85","874","5.2"
"Harold & Kumar Escape from Guantanamo Bay ","Color","Jon Hurwitz","153","102","22","816","Eric Winter","1000","38087366","Danneel Ackles","113918","4065","Beverly D'Angelo","2","http://www.imdb.com/title/tt0481536/?ref_=fn_tt_tt_1","165","English","USA","R","12000000","2008","954","1.85","0","6.6"
"Safety Not Guaranteed ","Color","Colin Trevorrow","271","86","365","522","Mark Duplass","934","4007792","Mary Lynn Rajskub","101287","2714","Jeff Garlin","0","http://www.imdb.com/title/tt1862079/?ref_=fn_tt_tt_1","260","English","USA","R","750000","2012","830","2.35","31000","7"
"Pirates of the Caribbean: Dead Man's Chest ","Color","Gore Verbinski","313","151","563","1000","Orlando Bloom","40000","423032628","Johnny Depp","522040","48486","Jack Davenport","2","http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1","1832","English","USA","PG-13","225000000","2006","5000","2.35","5000","7.3"
"Eve's Bayou ","Color","Kasi Lemmons","31","109","148","426","Lynn Whitfield","2000","14821531","Jurnee Smollett-Bell","6915","3843","Diahann Carroll","2","http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1","209","English","USA","R","6000000","1997","434","1.85","599","7.3"
"Broken Horses ","Color","Vidhu Vinod Chopra","22","101","34","277","Chris Marquette","892",,"María Valverde","1554","2055","Chad Bishop","0","http://www.imdb.com/title/tt2503954/?ref_=fn_tt_tt_1","20","English","USA","R","15000000","2015","355","2.35","0","5.7"
"The Country Bears ","Color","Peter Hastings","43","88","0","939","Alex Rocco","3000","16988996","Haley Joel Osment","3875","8189","Stephen Root","1","http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1","75","English","USA","G","35000000","2002","968","1.85","422","4"
"Child's Play 2 ","Color","John Lafia","59","72","5","435","Beth Grant","659","28501605","Jenny Agutter","31371","2646","Greg Germann","0","http://www.imdb.com/title/tt0099253/?ref_=fn_tt_tt_1","166","English","USA","R","13000000","1990","628","1.85","0","5.7"
"The Calling ","Color","Jason Stone","48","108","14","826","Ellen Burstyn","2000",,"Topher Grace","6025","4385","Christopher Heyerdahl","2","http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1","28","English","USA","R",,"2014","1000",,"0","5.8"
"Illuminata ","Color","John Turturro","36","119","0","54","Ben Gazzara","816","836641","Beverly D'Angelo","1402","1585","George DiCenzo","0","http://www.imdb.com/title/tt0120709/?ref_=fn_tt_tt_1","40","English","Spain","R",,"1998","623","1.85","74","6.2"
"Broken Arrow ","Color","John Woo","72","108","610","461","Samantha Mathis","848","70450000","Delroy Lindo","77390","2913","Bob Gunton","2","http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1","189","English","USA","R","50000000","1996","517","2.35","0","6"
"Prophecy ","Color","John Frankenheimer","70","102","287","79","Richard Dysart","452",,"Talia Shire","3000","729","Robert Foxworth","1","http://www.imdb.com/title/tt0079758/?ref_=fn_tt_tt_1","75","English","USA","PG","12000000","1979","122","2.35","902","5.4"
"Tupac: Resurrection ","Color","Lauren Lazin","26","112","2","321","Gary Coleman","786","7707563","James Cagney","7687","2638","Todd Bridges","0","http://www.imdb.com/title/tt0343121/?ref_=fn_tt_tt_1","32","English","USA","R",,"2003","633","1.85","0","8"
"An American Carol ","Color","David Zucker","45","83","119","633","Geoffrey Arend","885","7001720","Chriss Anglin","8560","2907","Gary Coleman","2","http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1","205","English","USA","PG-13","12000000","2008","816","2.35","797","4.3"
"Rob Roy ","Color","Michael Caton-Jones","44","139","105","902","Jason Flemyng","14000","31600000","Liam Neeson","34427","16125","Eric Stoltz","1","http://www.imdb.com/title/tt0114287/?ref_=fn_tt_tt_1","126","English","USA","R","28000000","1995","1000","2.35","0","6.9"
"Taxi Driver ","Color","Martin Scorsese","211","110","17000","595","Albert Brooks","22000",,"Robert De Niro","507063","23525","Peter Boyle","1","http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1","881","English","USA","R","1300000","1976","745","1.85","35000","8.3"
"Little Nicholas ","Color","Laurent Tirard","56","91","2","55","Sandrine Kiberlain","295",,"Louise Bourgoin","9214","545","Kad Merad","7","http://www.imdb.com/title/tt1264904/?ref_=fn_tt_tt_1","17","French","France",,,"2009","71","1.85","0","7.2"
"The Wash ","Color","DJ Pooh","27","93","69","69","Dr. Dre","522","10097096","Angell Conwell","5612","955","DJ Pooh","2","http://www.imdb.com/title/tt0290332/?ref_=fn_tt_tt_1","38","English","USA","R","4000000","2001","231","1.85","842","4.6"
"Rubber ","Color","Quentin Dupieux","230","82","248","196","Jack Plotnick","353","98017","Haley Ramm","26185","1498","Cecelia Antoinette","0","http://www.imdb.com/title/tt1612774/?ref_=fn_tt_tt_1","170","English","France","R","500000","2010","248","1.85","46000","5.8"
"Forget Me Not ","Color","Tyler Oliver","24","103","0","511","Chloe Bridges","35000",,"Bella Thorne","4866","38121","Christopher Atkins","1","http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1","38","English","USA","R","1300000","2009","516","2.35","969","5.2"
"Certifiably Jonathan ","Color","James David Pasternak","17","85","0","924","Sarah Silverman","49000","7826","Robin Williams","132","54484","Jonathan Winters","10","http://www.imdb.com/title/tt0976025/?ref_=fn_tt_tt_1","2","English","USA",,"1200000","2007","931",,"87","6.2"
